id	name	formula	rt	smiles.std	status	inchi.std	inchikey.std
draft_22951_00332		C6H12N2O	6.941999999999999		missing SMILES		
draft_22951_00333		C7H16N2	6.944999999999999		missing SMILES		
draft_22951_00334		C8H20N2	6.961		missing SMILES		
draft_22951_00335		C7H9N3	6.962000000000001		missing SMILES		
draft_22951_00336		C5H5NO	6.965999999999999		missing SMILES		
draft_22951_00337		C7H7N	6.97		missing SMILES		
draft_22951_00338		C7H13N	6.976		missing SMILES		
draft_22951_00339		C5H13N	6.976		missing SMILES		
draft_22951_00340		C7H16N2	6.976		missing SMILES		
draft_22951_00341		C5H9N3S	6.976		missing SMILES		
draft_22951_00342		C10H11N3O2	6.976		missing SMILES		
draft_22951_00343		C10H19N3O2	6.982		missing SMILES		
draft_22951_00344		C5H8N2	6.987		missing SMILES		
draft_22951_00345		C5H14N2	6.997		missing SMILES		
draft_22951_00346		C11H10N2O	6.997		missing SMILES		
draft_22951_00347		C9H14N	7.001		missing SMILES		
draft_22951_00348		C6H9NS	7.002		missing SMILES		
draft_22951_00349		C12H22N2O	7.002		missing SMILES		
draft_22951_00350		C8H9NO2	7.002		missing SMILES		
draft_22951_00351		C6H14N2	7.007000000000001		missing SMILES		
draft_22951_00352		C8H8N2	7.007000000000001		missing SMILES		
draft_22951_00353		C10H14N2	7.0120000000000005		missing SMILES		
draft_22951_00354		C8H14N2O	7.022		missing SMILES		
draft_22951_00355		C9H17NO2	7.022		missing SMILES		
draft_22951_00357		C10H18N2S	7.023		missing SMILES		
draft_22951_00358		C6H15N	7.0280000000000005		missing SMILES		
draft_22951_00359		C8H20N2	7.0280000000000005		missing SMILES		
draft_22951_00360		C8H12N2	7.0280000000000005		missing SMILES		
draft_22951_00361		C11H12N4	7.032		missing SMILES		
draft_22951_00362		C7H11N3	7.033		missing SMILES		
draft_22951_00363		C8H10N4OS	7.033		missing SMILES		
draft_22951_00364		C7H17NO	7.037000000000001		missing SMILES		
draft_22951_00365		C8H12N2	7.037999999999999		missing SMILES		
draft_22951_00366		C11H16N2	7.0395		missing SMILES		
draft_22951_00367		C6H16N2	7.04		missing SMILES		
draft_22951_00368		C5H13N	7.049		missing SMILES		
draft_22951_00369		C9H22N2	7.049		missing SMILES		
draft_22951_00371		C10H10N2	7.053		missing SMILES		
draft_22951_00372		C9H11NO2	7.059		missing SMILES		
draft_22951_00373		C4H8N2S2	7.063		missing SMILES		
draft_22951_00374		C7H15NO	7.063		missing SMILES		
draft_22951_00375		C10H12N4O2	7.063		missing SMILES		
draft_22951_00376		C6H11N	7.068		missing SMILES		
draft_22951_00377		C10H13NO2	7.083		missing SMILES		
draft_22951_00378		C5H13N	7.09		missing SMILES		
draft_22951_00379		C7H6N2	7.09		missing SMILES		
draft_22951_00380		C10H19NO	7.093		missing SMILES		
draft_22951_00381		C13H21N3O2	7.093		missing SMILES		
draft_22951_00382		C7H12N2	7.093999999999999		missing SMILES		
draft_22951_00383		C6H15N	7.101		missing SMILES		
draft_22951_00384		C10H11N3O	7.101		missing SMILES		
draft_22951_00385		C8H19N	7.103		missing SMILES		
draft_22951_00386		C8H7N3	7.103		missing SMILES		
